Nombre de muestra,BioSample,Host,Accession
Metagenome or environmental sample from honey metagenome,SAMN16092455,not applicable,SAMN16092455
Metagenome or environmental sample from honey metagenome,SAMN16092456,not applicable,SAMN16092456
Metagenome or environmental sample from honey metagenome,SAMN16092457,not applicable,SAMN16092457
Metagenome or environmental sample from honey metagenome,SAMN16092458,not applicable,SAMN16092458
Metagenome or environmental sample from honey metagenome,SAMN16092459,not applicable,SAMN16092459
Metagenome or environmental sample from honey metagenome,SAMN16092460,not applicable,SAMN16092460
Metagenome or environmental sample from honey metagenome,SAMN16092461,not applicable,SAMN16092461
Metagenome or environmental sample from honey metagenome,SAMN16092462,not applicable,SAMN16092462
Metagenome or environmental sample from honey metagenome,SAMN16092463,not applicable,SAMN16092463
Metagenome or environmental sample from honey metagenome,SAMN16092464,not applicable,SAMN16092464
Metagenome or environmental sample from honey metagenome,SAMN16092465,not applicable,SAMN16092465
Metagenome or environmental sample from honey metagenome,SAMN16092466,not applicable,SAMN16092466
Metagenome or environmental sample from honey metagenome,SAMN16092467,not applicable,SAMN16092467
Metagenome or environmental sample from honey metagenome,SAMN16092468,not applicable,SAMN16092468
Metagenome or environmental sample from honey metagenome,SAMN16092469,not applicable,SAMN16092469
Metagenome or environmental sample from honey metagenome,SAMN16092470,not applicable,SAMN16092470
Metagenome or environmental sample from honey metagenome,SAMN16092471,not applicable,SAMN16092471
Metagenome or environmental sample from honey metagenome,SAMN16092472,not applicable,SAMN16092472
Metagenome or environmental sample from honey metagenome,SAMN16092473,not applicable,SAMN16092473
Metagenome or environmental sample from honey metagenome,SAMN16092474,not applicable,SAMN16092474
Metagenome or environmental sample from honey metagenome,SAMN16092475,not applicable,SAMN16092475
Metagenome or environmental sample from honey metagenome,SAMN16092476,not applicable,SAMN16092476
Metagenome or environmental sample from honey metagenome,SAMN16092477,not applicable,SAMN16092477
Metagenome or environmental sample from honey metagenome,SAMN16092478,not applicable,SAMN16092478
Metagenome or environmental sample from honey metagenome,SAMN16092479,not applicable,SAMN16092479
Metagenome or environmental sample from honey metagenome,SAMN16092480,not applicable,SAMN16092480
Metagenome or environmental sample from honey metagenome,SAMN16092481,not applicable,SAMN16092481
Metagenome or environmental sample from honey metagenome,SAMN16092482,not applicable,SAMN16092482
Metagenome or environmental sample from honey metagenome,SAMN16092483,not applicable,SAMN16092483
Metagenome or environmental sample from honey metagenome,SAMN16092484,not applicable,SAMN16092484
Metagenome or environmental sample from honey metagenome,SAMN16092485,not applicable,SAMN16092485
Metagenome or environmental sample from honey metagenome,SAMN16092486,not applicable,SAMN16092486
Metagenome or environmental sample from honey metagenome,SAMN16092487,not applicable,SAMN16092487
Metagenome or environmental sample from honey metagenome,SAMN16092488,not applicable,SAMN16092488
Metagenome or environmental sample from honey metagenome,SAMN16092489,not applicable,SAMN16092489
Metagenome or environmental sample from honey metagenome,SAMN16092490,not applicable,SAMN16092490
Metagenome or environmental sample from honey metagenome,SAMN16092491,not applicable,SAMN16092491
Metagenome or environmental sample from honey metagenome,SAMN16092492,not applicable,SAMN16092492
Metagenome or environmental sample from honey metagenome,SAMN16092493,not applicable,SAMN16092493
Metagenome or environmental sample from honey metagenome,SAMN16092494,not applicable,SAMN16092494
Metagenome or environmental sample from honey metagenome,SAMN16092495,not applicable,SAMN16092495
Metagenome or environmental sample from honey metagenome,SAMN16092496,not applicable,SAMN16092496
Metagenome or environmental sample from honey metagenome,SAMN16092497,not applicable,SAMN16092497
Metagenome or environmental sample from honey metagenome,SAMN16092498,not applicable,SAMN16092498
Metagenome or environmental sample from honey metagenome,SAMN16092499,not applicable,SAMN16092499
Metagenome or environmental sample from honey metagenome,SAMN16092500,not applicable,SAMN16092500
BL,SAMN40462708,not collected,SAMN40462708
EK,SAMN40462709,not collected,SAMN40462709
PL,SAMN40462710,not collected,SAMN40462710
Metagenome or environmental sample from honey metagenome,SAMN42493026,,SAMN42493026
Metagenome or environmental sample from honey metagenome,SAMN42493027,,SAMN42493027
Metagenome or environmental sample from honey metagenome,SAMN42493028,,SAMN42493028
Metagenome or environmental sample from honey metagenome,SAMN42493029,,SAMN42493029
Metagenome or environmental sample from honey metagenome,SAMN42493030,,SAMN42493030
Metagenome or environmental sample from honey metagenome,SAMN42493031,,SAMN42493031
Metagenome or environmental sample from honey metagenome,SAMN42493032,,SAMN42493032
Metagenome or environmental sample from honey metagenome,SAMN42493033,,SAMN42493033
Metagenome or environmental sample from honey metagenome,SAMN42493034,,SAMN42493034
Metagenome or environmental sample from honey metagenome,SAMN42493035,,SAMN42493035
Metagenome or environmental sample from honey metagenome,SAMN42493036,,SAMN42493036
Metagenome or environmental sample from honey metagenome,SAMN42493037,,SAMN42493037
Metagenome or environmental sample from honey metagenome,SAMN42493038,,SAMN42493038
Metagenome or environmental sample from honey metagenome,SAMN42493039,,SAMN42493039
Metagenome or environmental sample from honey metagenome,SAMN42493040,,SAMN42493040
Metagenome or environmental sample from honey metagenome,SAMN42493041,,SAMN42493041
Metagenome or environmental sample from honey metagenome,SAMN42493042,,SAMN42493042
Metagenome or environmental sample from honey metagenome,SAMN42493043,,SAMN42493043
Metagenome or environmental sample from honey metagenome,SAMN42493044,,SAMN42493044
Metagenome or environmental sample from honey metagenome,SAMN42493045,,SAMN42493045
Metagenome or environmental sample from honey metagenome,SAMN42493046,,SAMN42493046
Metagenome or environmental sample from honey metagenome,SAMN42493047,,SAMN42493047
Metagenome or environmental sample from honey metagenome,SAMN42493048,,SAMN42493048
Metagenome or environmental sample from honey metagenome,SAMN42493049,,SAMN42493049
Metagenome or environmental sample from honey metagenome,SAMN42493050,,SAMN42493050
Metagenome or environmental sample from honey metagenome,SAMN42493051,,SAMN42493051
Metagenome or environmental sample from honey metagenome,SAMN42493052,,SAMN42493052
Metagenome or environmental sample from honey metagenome,SAMN42493053,,SAMN42493053
Metagenome or environmental sample from honey metagenome,SAMN42493054,,SAMN42493054
Metagenome or environmental sample from honey metagenome,SAMN42493055,,SAMN42493055
Metagenome or environmental sample from honey metagenome,SAMN42493056,,SAMN42493056
Metagenome or environmental sample from honey metagenome,SAMN42493057,,SAMN42493057
