,Unnamed: 0,Run,avgLength,size_MB,Sample,LibraryLayout,Experiment,SRAStudy,SRA,BioSample,Geographic location,Latitude,Longitude
0,2,SRR32962829,302,1235,SRS24584644,PAIRED,SRX28236500,SRP576164,SRS24584644,SAMN47760422,"India: south 24 parganas, Sundarban,Boney camp",21.49,88.37
1,3,SRR32962828,302,1408,SRS24584646,PAIRED,SRX28236501,SRP576164,SRS24584646,SAMN47760423,"India: south 24 parganas, Sundarban, kalas",21.41,88.34
2,4,SRR32962827,302,1222,SRS24584645,PAIRED,SRX28236502,SRP576164,SRS24584645,SAMN47760424,"India: south 24 parganas, Sundarban, Chulkati",21.35,88.32
3,370,SRR12632460,212,244,SRS7360046,PAIRED,SRX9114737,SRP281932,SRS7360046,SAMN16092455,Finland,60.79,23.85
4,371,SRR12632459,177,172,SRS7360047,PAIRED,SRX9114738,SRP281932,SRS7360047,SAMN16092456,Finland,60.79,23.85
5,372,SRR12632458,159,152,SRS7360048,PAIRED,SRX9114739,SRP281932,SRS7360048,SAMN16092457,Finland,65.91,24.13
6,375,SRR12632463,216,248,SRS7360037,PAIRED,SRX9114734,SRP281932,SRS7360037,SAMN16092467,Estonia,59.95,23.38
7,376,SRR12632462,199,200,SRS7360044,PAIRED,SRX9114735,SRP281932,SRS7360044,SAMN16092473,Estonia,57.9,26.31
8,377,SRR12632461,186,40,SRS7360045,PAIRED,SRX9114736,SRP281932,SRS7360045,SAMN16092474,Estonia,59.11,26.23
9,378,SRR12632465,185,202,SRS7359994,PAIRED,SRX9114732,SRP281932,SRS7359994,SAMN16092499,Sweden,65.59,22.15
10,379,SRR12632464,204,267,SRS7359995,PAIRED,SRX9114733,SRP281932,SRS7359995,SAMN16092500,Sweden,63.58,16.28
11,380,SRR12632469,177,170,SRS7360043,PAIRED,SRX9114728,SRP281932,SRS7360043,SAMN16092472,Estonia,58.31,26.65
12,381,SRR12632470,149,90,SRS7360081,PAIRED,SRX9114727,SRP281932,SRS7360081,SAMN16092495,Sweden,65.59,22.15
13,382,SRR12632468,182,199,SRS7360082,PAIRED,SRX9114729,SRP281932,SRS7360082,SAMN16092496,Sweden,65.9,22.45
14,383,SRR12632467,186,211,SRS7360084,PAIRED,SRX9114730,SRP281932,SRS7360084,SAMN16092497,Sweden,63.58,16.28
15,384,SRR12632466,187,197,SRS7360085,PAIRED,SRX9114731,SRP281932,SRS7360085,SAMN16092498,Sweden,66.05,21.81
16,385,SRR12632475,217,240,SRS7360076,PAIRED,SRX9114722,SRP281932,SRS7360076,SAMN16092490,Sweden,58.0,14.44
17,386,SRR12632474,219,244,SRS7360077,PAIRED,SRX9114723,SRP281932,SRS7360077,SAMN16092491,Sweden,58.01,14.57
18,387,SRR12632473,196,206,SRS7360078,PAIRED,SRX9114724,SRP281932,SRS7360078,SAMN16092492,Sweden,58.58,15.81
19,388,SRR12632472,147,113,SRS7360079,PAIRED,SRX9114725,SRP281932,SRS7360079,SAMN16092493,Sweden,63.58,16.28
20,389,SRR12632471,193,163,SRS7360080,PAIRED,SRX9114726,SRP281932,SRS7360080,SAMN16092494,Sweden,63.58,16.28
21,390,SRR12632480,238,351,SRS7360042,PAIRED,SRX9114717,SRP281932,SRS7360042,SAMN16092471,Estonia,58.31,26.65
22,391,SRR12632479,209,763,SRS7360071,PAIRED,SRX9114718,SRP281932,SRS7360071,SAMN16092486,Sweden,59.26,18.33
23,392,SRR12632478,223,318,SRS7360073,PAIRED,SRX9114719,SRP281932,SRS7360073,SAMN16092487,Sweden,59.26,18.33
24,393,SRR12632477,206,197,SRS7360074,PAIRED,SRX9114720,SRP281932,SRS7360074,SAMN16092488,Sweden,57.49,14.15
25,394,SRR12632476,198,204,SRS7360075,PAIRED,SRX9114721,SRP281932,SRS7360075,SAMN16092489,Sweden,59.61,18.01
26,395,SRR12632485,165,161,SRS7360066,PAIRED,SRX9114712,SRP281932,SRS7360066,SAMN16092481,Finland,64.02,24.68
27,396,SRR12632484,217,254,SRS7360067,PAIRED,SRX9114713,SRP281932,SRS7360067,SAMN16092482,Sweden,58.72,15.43
28,397,SRR12632483,211,3,SRS7360068,PAIRED,SRX9114714,SRP281932,SRS7360068,SAMN16092483,Sweden,59.36,18.03
29,398,SRR12632482,213,258,SRS7360069,PAIRED,SRX9114715,SRP281932,SRS7360069,SAMN16092484,Sweden,57.09,18.26
30,399,SRR12632481,234,304,SRS7360070,PAIRED,SRX9114716,SRP281932,SRS7360070,SAMN16092485,Sweden,56.95,18.24
31,400,SRR12632490,240,304,SRS7360060,PAIRED,SRX9114707,SRP281932,SRS7360060,SAMN16092476,Finland,64.21,28.99
32,401,SRR12632489,174,192,SRS7360062,PAIRED,SRX9114708,SRP281932,SRS7360062,SAMN16092477,Finland,60.09,24.18
33,402,SRR12632488,170,158,SRS7360063,PAIRED,SRX9114709,SRP281932,SRS7360063,SAMN16092478,Finland,63.05,27.23
34,403,SRR12632487,181,170,SRS7360064,PAIRED,SRX9114710,SRP281932,SRS7360064,SAMN16092479,Finland,60.16,25.02
35,404,SRR12632486,198,179,SRS7360065,PAIRED,SRX9114711,SRP281932,SRS7360065,SAMN16092480,Finland,61.06,23.59
36,405,SRR12632491,184,173,SRS7360041,PAIRED,SRX9114706,SRP281932,SRS7360041,SAMN16092470,Estonia,58.57,22.68
37,406,SRR12632495,196,181,SRS7360056,PAIRED,SRX9114702,SRP281932,SRS7360056,SAMN16092464,Finland,60.94,22.98
38,407,SRR12632494,213,232,SRS7360057,PAIRED,SRX9114703,SRP281932,SRS7360057,SAMN16092465,Finland,60.94,22.98
39,408,SRR12632493,178,0,SRS7360058,PAIRED,SRX9114704,SRP281932,SRS7360058,SAMN16092466,Finland,60.62,24.01
40,409,SRR12632492,187,206,SRS7360059,PAIRED,SRX9114705,SRP281932,SRS7360059,SAMN16092475,Finland,64.13,23.78
41,410,SRR12632500,211,240,SRS7360051,PAIRED,SRX9114697,SRP281932,SRS7360051,SAMN16092459,Finland,60.39,25.02
