BioSample,SRA,Geographic location,Latitude,Longitude
SAMEA6455792,ERS4221341,Italy,,
SAMEA6455793,ERS4221342,Italy,,
SAMEA6455794,ERS4221343,Italy,,
SAMN16092455,SRS7360046,Finland,60.79,23.85
SAMN16092456,SRS7360047,Finland,60.79,23.85
SAMN16092457,SRS7360048,Finland,65.91,24.13
SAMN16092458,SRS7360049,Finland,61.23,23.56
SAMN16092459,SRS7360051,Finland,60.39,25.02
SAMN16092460,SRS7360052,Finland,60.19,24.33
SAMN16092461,SRS7360054,Finland,60.51,25.79
SAMN16092462,SRS7360053,Finland,63.21,28.06
SAMN16092463,SRS7360055,Finland,64.77,27.26
SAMN16092464,SRS7360056,Finland,60.94,22.98
SAMN16092465,SRS7360057,Finland,60.94,22.98
SAMN16092466,SRS7360058,Finland,60.62,24.01
SAMN16092467,SRS7360037,Estonia,59.95,23.38
SAMN16092468,SRS7360038,Estonia,59.95,23.38
SAMN16092469,SRS7360040,Estonia,59.39,24.27
SAMN16092470,SRS7360041,Estonia,58.57,22.68
SAMN16092471,SRS7360042,Estonia,58.31,26.65
SAMN16092472,SRS7360043,Estonia,58.31,26.65
SAMN16092473,SRS7360044,Estonia,57.9,26.31
SAMN16092474,SRS7360045,Estonia,59.11,26.23
SAMN16092475,SRS7360059,Finland,64.13,23.78
SAMN16092476,SRS7360060,Finland,64.21,28.99
SAMN16092477,SRS7360062,Finland,60.09,24.18
SAMN16092478,SRS7360063,Finland,63.05,27.23
SAMN16092479,SRS7360064,Finland,60.16,25.02
SAMN16092480,SRS7360065,Finland,61.06,23.59
SAMN16092481,SRS7360066,Finland,64.02,24.68
SAMN16092482,SRS7360067,Sweden,58.72,15.43
SAMN16092483,SRS7360068,Sweden,59.36,18.03
SAMN16092484,SRS7360069,Sweden,57.09,18.26
SAMN16092485,SRS7360070,Sweden,56.95,18.24
SAMN16092486,SRS7360071,Sweden,59.26,18.33
SAMN16092487,SRS7360073,Sweden,59.26,18.33
SAMN16092488,SRS7360074,Sweden,57.49,14.15
SAMN16092489,SRS7360075,Sweden,59.61,18.01
SAMN16092490,SRS7360076,Sweden,58.0,14.44
SAMN16092491,SRS7360077,Sweden,58.01,14.57
SAMN16092492,SRS7360078,Sweden,58.58,15.81
SAMN16092493,SRS7360079,Sweden,63.58,16.28
SAMN16092494,SRS7360080,Sweden,63.58,16.28
SAMN16092495,SRS7360081,Sweden,65.59,22.15
SAMN16092496,SRS7360082,Sweden,65.9,22.45
