sample_name,Assey_Type,AvgSpotLen,Bases,BioProject,BioSample,Size,Colection_Date,Consent,Experiment,ScientificName,Specie,Zootechnic_mangement,Flowering_type,Contry,Continent,City,Latitud,Longitud,Model,LibraryName,LibrarySource,SRAStudy,Platform,ID,LibraryLayout,CenterName,Notas
SRR32962829,WGS,302,3741103822,PRJNA1245617,SAMN47760422,1235 Mb,11/06/2021,public,SRX28236500,honey metagenome,Apis mellifera,not colected,not colected,India,Asia,Sundarban,21.49,88.37,Illumina NovaSeq 6000,B,METAGENOMIC,SRP576164,ILLUMINA,Baen,PAIRED,BIDHAN CHANDRA KRISHI VISWAVIDYALAYA,hay dos muestras etiquetadas como estonia con coordenadas en finalndia SRR12632463 SRR12632503
SRR32962828,WGS,302,4449584044,PRJNA1245617,SAMN47760423,1408 Mb,10/06/2021,public,SRX28236501,honey metagenome,Apis mellifera,not colected,not colected,India,Asia,Sundarban,21.41,88.34,Illumina NovaSeq 6000,K,METAGENOMIC,SRP576164,ILLUMINA,Kholsi,PAIRED,BIDHAN CHANDRA KRISHI VISWAVIDYALAYA,las coordenadas de las pruevas de italia se tomaron por eleccion centricas pero no reflejan los datos reales
SRR32962827,WGS,302,3786296612,PRJNA1245617,SAMN47760424,1222 Mb,08/03/2021,public,SRX28236502,honey metagenome,Apis mellifera,not colected,not colected,India,Asia,Sundarban,21.35,88.32,Illumina NovaSeq 6000,T,METAGENOMIC,SRP576164,ILLUMINA,Tora,PAIRED,BIDHAN CHANDRA KRISHI VISWAVIDYALAYA,las doordenadas de las ciudades de españa se tomaron centricas pero no reflejan los datos
SRR12632460,WGS,212,644702942,PRJNA662672,SAMN16092455,244 Mb,01/08/2018,public,SRX9114737,honey metagenome,not colected,not colected,not colected,Finland,Europa,Tammela,60.79,23.85,NextSeq 500,NFI01_S1_,GENOMIC,SRP281932,ILLUMINA,NFI01,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632459,WGS,177,464155371,PRJNA662672,SAMN16092456,172 Mb,01/08/2018,public,SRX9114738,honey metagenome,not colected,not colected,not colected,Finland,Europa,Tammela,60.79,23.85,NextSeq 500,NFI02_S2_,GENOMIC,SRP281932,ILLUMINA,NFI02,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632458,WGS,159,412889949,PRJNA662672,SAMN16092457,152 Mb,01/08/2018,public,SRX9114739,honey metagenome,not colected,not colected,not colected,Finland,Europa,Ala-Vojakkala,65.91,24.13,NextSeq 500,NFI03_S3_,GENOMIC,SRP281932,ILLUMINA,NFI03,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632463,WGS,216,661081349,PRJNA662672,SAMN16092467,248 Mb,01/08/2018,public,SRX9114734,honey metagenome,not colected,not colected,not colected,Finland,Europa,Leksvall,59.95,23.38,NextSeq 500,NES13_S13_,GENOMIC,SRP281932,ILLUMINA,NES13,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632462,WGS,199,530998297,PRJNA662672,SAMN16092473,200 Mb,01/08/2018,public,SRX9114735,honey metagenome,not colected,not colected,not colected,Estonia,Europa,Lossiküla,57.9,26.31,NextSeq 500,NES19_S19_,GENOMIC,SRP281932,ILLUMINA,NES19,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632461,WGS,186,108746950,PRJNA662672,SAMN16092474,40 Mb,01/08/2018,public,SRX9114736,honey metagenome,not colected,not colected,not colected,Estonia,Europa,Ebavere,59.11,26.23,NextSeq 500,NES20_S20_,GENOMIC,SRP281932,ILLUMINA,NES20,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632465,WGS,185,552248594,PRJNA662672,SAMN16092499,202 Mb,01/08/2018,public,SRX9114732,honey metagenome,not colected,not colected,not colected,Sweden,Europa,Lulea,65.59,22.15,NextSeq 500,NSE18_S45_,GENOMIC,SRP281932,ILLUMINA,NSE18,PAIRED,UNIVERSITY OF HELSINKI,
