Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
SRR27931704.001	Bacteria	5449	104	58	98.28	5.33	50.00	2959751	0	666	666	6728	6728	4444	4444	52988	52988	34.8	11.77	60.98	11	2157	1	97	6	0	0	0
SRR27931704.002	Bacteria	5449	104	58	36.66	15.24	0.00	57708532	0	6822	6822	14444	14444	8459	8459	93183	93183	21.9	5.90	25.06	11	57942	52	30	17	4	1	0
SRR27931704.003	Bacteria	5449	104	58	75.31	60.67	8.45	72530487	0	13640	13640	8130	8130	5317	5317	78299	78299	30.8	3.39	31.42	11	77998	34	31	26	11	2	0
SRR27931704.004	Bacteria	5449	104	58	91.03	78.13	4.40	77825419	0	28107	28107	3415	3415	2768	2768	36984	36984	39.7	5.09	40.49	11	102452	7	34	36	17	7	3
SRR27931705.001	Bacteria	5449	104	58	14.20	0.00	0.00	324708	0	29	29	56842	56842	11196	11196	123686	123686	51.2	17.08	79.61	11	294	65	39	0	0	0	0
SRR27931705.002	Bacteria	5449	104	58	84.12	22.28	76.19	3309705	0	899	899	4784	4784	3681	3681	78073	78073	37.7	6.86	81.22	11	3357	31	59	12	1	1	0
SRR27931705.003	Bacteria	5449	104	58	3.61	0.00	0.00	953545	0	335	335	3480	3480	2846	2846	16628	16628	28.1	7.11	53.61	11	875	101	3	0	0	0	0
SRR27931705.004	Bacteria	5449	104	58	73.35	82.52	61.32	3975074	0	1367	1367	3574	3574	2907	2907	43933	43933	36.7	3.31	89.68	11	4305	25	46	18	8	4	3
SRR27931705.005	Bacteria	5449	104	58	85.42	4.31	66.67	2471603	0	263	263	19593	19593	9397	9397	111960	111960	36.5	3.43	86.78	11	2481	40	61	3	0	0	0
SRR27931705.006	Bacteria	5449	104	58	0.31	0.00	0.00	1105062	0	266	266	6819	6819	4154	4154	56929	56929	51.3	13.93	73.04	11	986	102	2	0	0	0	0
SRR27931705.007	Bacteria	5449	104	58	58.62	51.72	88.64	2840114	0	821	821	4654	4654	3459	3459	38536	38536	33.2	1.69	88.01	11	3494	68	13	14	8	1	0
SRR27931705.008	Bacteria	5449	104	58	78.34	24.61	5.00	5382625	0	1331	1331	9219	9219	4044	4044	108983	108983	35.4	3.19	82.33	11	6216	32	56	14	2	0	0
SRR27931705.009	Bacteria	5449	104	58	65.52	40.98	10.00	3224839	0	1382	1382	2451	2451	2333	2333	149590	149590	38.1	2.59	87.87	11	3939	24	31	43	3	3	0
SRR27931705.010	Bacteria	5449	104	58	16.29	3.24	0.00	34615942	0	14579	14579	2673	2673	2374	2374	20368	20368	20.8	3.66	23.12	11	36970	77	22	5	0	0	0
SRR27931705.011	Bacteria	5449	104	58	21.40	9.80	0.00	38070146	0	15844	15844	2710	2710	2402	2402	60613	60613	28.0	2.21	31.30	11	43563	72	21	5	5	1	0
SRR27931705.012	Bacteria	5449	104	58	8.64	5.82	41.67	11399578	0	4828	4828	2675	2675	2361	2361	22868	22868	33.2	1.42	34.24	11	14613	86	10	6	2	0	0
SRR27931705.013	Bacteria	5449	104	58	2.29	0.16	0.00	11509214	0	5336	5336	2368	2368	2156	2156	13251	13251	36.5	1.37	28.81	11	14694	93	10	1	0	0	0
SRR27931705.014	Bacteria	5449	104	58	1.49	0.00	0.00	17262367	0	8427	8427	2186	2186	2048	2048	14472	14472	34.6	2.36	30.25	11	21331	99	5	0	0	0	0
SRR27931705.015	Bacteria	5449	104	58	7.45	1.72	0.00	30420470	0	17279	17279	1798	1798	1760	1760	18148	18148	42.5	3.32	45.51	11	51259	90	12	2	0	0	0
SRR27931706.001	Bacteria	5449	104	58	91.38	13.51	94.74	1800909	0	432	432	5690	5690	4168	4168	21685	21685	39.8	8.05	79.81	11	1659	5	84	13	2	0	0
SRR27931706.002	Bacteria	5449	104	58	36.13	10.33	23.81	2266459	0	698	698	4323	4323	3247	3247	50445	50445	37.1	11.40	66.06	11	2143	50	35	18	1	0	0
SRR27931706.003	Bacteria	5449	104	58	67.71	52.59	79.49	2633682	0	753	753	4725	4725	3497	3497	59062	59062	34.6	5.83	87.68	11	2976	56	20	24	3	1	0
SRR27931706.004	Bacteria	5449	104	58	93.10	1.72	0.00	3373257	0	180	180	115970	115970	18740	18740	224677	224677	36.6	4.17	82.11	11	3232	28	75	1	0	0	0
SRR27931706.005	Bacteria	5449	104	58	84.06	4.08	0.00	2304742	0	239	239	18861	18861	9643	9643	62747	62747	36.6	3.76	87.95	11	2357	21	73	10	0	0	0
SRR27931706.006	Bacteria	5449	104	58	54.86	27.90	57.69	2952106	0	1057	1057	3399	3399	2792	2792	47501	47501	36.6	1.69	90.36	11	3300	50	43	5	5	1	0
SRR27931706.007	Bacteria	5449	104	58	66.54	6.90	83.33	1890145	0	295	295	9844	9844	6407	6407	48470	48470	36.8	2.05	88.71	11	1988	59	41	3	1	0	0
SRR27931706.008	Bacteria	5449	104	58	99.84	14.40	13.79	2825244	0	585	585	11175	11175	4829	4829	50233	50233	48.9	2.34	78.83	11	2774	1	78	23	2	0	0
SRR27931706.009	Bacteria	5449	104	58	31.71	6.18	28.57	5042129	0	1928	1928	3045	3045	2615	2615	53563	53563	33.5	2.31	81.01	11	6784	70	27	7	0	0	0
SRR27931706.010	Bacteria	5449	104	58	18.61	4.37	0.00	31485388	0	5393	5393	8862	8862	5838	5838	55558	55558	19.1	2.06	20.83	11	30582	81	19	4	0	0	0
SRR27931706.011	Bacteria	5449	104	58	37.86	5.02	0.00	36038753	0	8071	8071	6367	6367	4465	4465	47871	47871	24.8	1.87	30.77	11	43536	59	34	10	1	0	0
SRR27931706.012	Bacteria	5449	104	58	78.34	34.28	16.13	2940658	0	1379	1379	2201	2201	2132	2132	240428	240428	41.6	3.06	87.05	11	3317	19	55	19	6	3	2
SRR27931706.013	Bacteria	5449	104	58	43.54	5.31	0.00	42419177	0	13098	13098	4047	4047	3238	3238	36651	36651	30.8	2.06	30.54	11	48066	52	45	6	1	0	0
SRR27931706.014	Bacteria	5449	104	58	8.17	5.06	18.75	42192130	0	16728	16728	2900	2900	2522	2522	18135	18135	36.9	2.08	35.93	11	58552	79	10	8	6	1	0
SRR27931706.015	Bacteria	5449	104	58	2.59	0.00	0.00	26311641	0	13717	13717	2027	2027	1918	1918	10743	10743	44.0	3.12	52.13	11	44743	102	2	0	0	0	0
SRR27931706.016	Bacteria	5449	104	58	63.39	7.92	42.86	2923542	0	1488	1488	2069	2069	1964	1964	18718	18718	41.0	2.44	83.05	11	3778	48	49	7	0	0	0
SRR27931710.001	Bacteria	5449	104	58	100.00	21.36	36.67	1876259	0	891	891	2272	2272	2105	2105	16292	16292	37.8	5.07	87.71	11	2391	0	76	27	1	0	0
SRR27931710.002	Bacteria	5449	104	58	64.79	12.02	24.00	3101530	0	1793	1793	1697	1697	1729	1729	17790	17790	50.6	8.41	76.23	11	4198	25	62	13	4	0	0
SRR27931710.003	Bacteria	5449	104	58	52.07	17.27	0.00	2322153	0	1479	1479	1529	1529	1570	1570	8288	8288	35.4	3.63	82.96	11	3650	57	37	7	3	0	0
SRR27931711.001	Bacteria	5449	104	58	0.00	0.00	0.00	508622	0	56	56	23947	23947	9082	9082	46116	46116	50.5	7.70	81.92	4	535	104	0	0	0	0	0
SRR27931711.002	Bacteria	5449	104	58	88.79	90.33	3.83	11835864	0	1998	1998	13768	13768	5923	5923	61675	61675	38.9	4.15	77.72	11	9391	7	27	19	34	10	7
SRR27931711.003	Bacteria	5449	104	58	2.59	0.86	100.00	1343786	0	818	818	1604	1604	1642	1642	8648	8648	33.7	7.50	67.68	11	1790	102	1	1	0	0	0
SRR27931712.001	Bacteria	5449	104	58	0.00	0.00	0.00	512963	0	45	45	15434	15434	11399	11399	47962	47962	50.7	7.31	76.64	11	465	104	0	0	0	0	0
SRR27931712.002	Bacteria	5449	104	58	72.41	14.81	61.54	915231	0	285	285	4159	4159	3211	3211	15413	15413	36.1	4.86	83.58	11	977	43	53	7	0	1	0
