Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
22_Melli.029	Bacteria	5449	104	58	98.28	8.23	0	1974964	0	184	184	68817	68817	10733	10733	208775	208775	41	2.93	89.29	11	1909	1	96	6	1	0	0
22_Melli.031	Bacteria	5449	104	58	99.69	11.99	64.71	3689004	0	1147	1147	5762	5762	3216	3216	49755	49755	50	2.45	85.02	11	4086	2	89	11	2	0	0
23_Scapto.001	Bacteria	5449	104	58	91.38	1.72	0	1057271	0	49	49	29333	29333	21576	21576	80646	80646	32.8	2.3	88.1	11	1056	5	98	1	0	0	0
39_Melli.018	Bacteria	5449	104	58	99.69	4.36	92.31	3242123	0	266	266	114578	114578	12188	12188	244731	244731	49.1	6.68	82.45	11	2803	2	89	13	0	0	0
40_Melli.029	Bacteria	5449	104	58	91.35	8.62	16.67	1777581	0	361	361	9718	9718	4924	4924	70570	70570	37.4	1.88	88.93	11	1983	35	65	3	1	0	0
41_Melli.001	Bacteria	5449	104	58	91.38	3.45	0	1423883	0	93	93	37829	37829	15310	15310	118427	118427	41	5.56	89.69	11	1360	7	95	2	0	0	0
42_Melli.004	Bacteria	5449	104	58	93.1	12.93	0	1795647	0	140	140	32739	32739	12826	12826	121755	121755	32.9	5.47	85.61	11	1796	4	92	7	1	0	0
43_Scapto.014	Bacteria	5449	104	58	99.84	2.3	100	3550637	0	287	287	33525	33525	12371	12371	143835	143835	47.3	8.46	87.08	11	3363	1	100	3	0	0	0
43_Scapto.022	Bacteria	5449	104	58	98.28	3.45	0	1894294	0	138	138	56857	56857	13726	13726	164795	164795	44.7	2.91	86.27	11	1832	1	101	2	0	0	0
45_Melli.016	Bacteria	5449	104	58	91.38	5.33	0	1792603	0	91	91	40574	40574	19698	19698	254927	254927	37.2	1.87	87.75	11	1753	7	93	4	0	0	0
45_Melli.020	Bacteria	5449	104	58	94.83	10.34	12.5	1929931	0	73	73	89830	89830	26437	26437	266979	266979	40.7	1.9	90.03	11	1754	3	93	8	0	0	0
46_Melli.006	Bacteria	5449	104	58	98.28	2.04	0	1632422	0	49	49	125683	125683	33314	33314	375103	375103	44.5	5.15	88.44	11	1453	1	100	3	0	0	0
46_Melli.018	Bacteria	5449	104	58	100	12.38	9.09	3249540	0	713	713	48974	48974	4557	4557	767032	767032	50	3.95	87.7	11	3329	0	95	8	1	0	0
46_Melli.021	Bacteria	5449	104	58	100	0	0	2299108	0	27	27	189756	189756	85152	85152	358166	358166	62.7	2.38	90.52	11	2087	0	104	0	0	0	0
46_Melli.022	Bacteria	5449	104	58	95.98	13.89	68.75	3973983	0	732	732	15969	15969	5428	5428	136906	136906	36.9	3.04	87.31	11	4577	3	87	13	1	0	0
46_Melli.038	Bacteria	5449	104	58	91.38	11.76	6.06	5673916	0	2644	2644	2283	2283	2145	2145	52801	52801	52.9	3.48	85.35	11	7826	6	77	15	6	0	0
47_Melli.001	Bacteria	5449	104	58	97.41	4.31	66.67	2082406	0	137	137	28492	28492	15200	15200	170913	170913	41.1	5.25	88.12	11	1877	2	99	3	0	0	0
51_Scapto.004	Bacteria	5449	104	58	98.28	1.72	100	1321967	0	113	113	47572	47572	11698	11698	140296	140296	29.1	5.49	86.58	11	1351	1	102	1	0	0	0
89_Scapto.001	Bacteria	5449	104	58	93.26	1.72	0	1179535	0	44	44	49106	49106	26807	26807	192086	192086	33	3.34	87.45	11	1165	13	90	1	0	0	0
89_Scapto.002	Bacteria	5449	104	58	94.83	13.79	31.82	1399113	0	62	62	70819	70819	22566	22566	156361	156361	30.2	4.16	87.05	11	1386	3	57	44	0	0	0
90_Scapto.012	Bacteria	5449	104	58	94.83	5.17	0	2759071	0	555	555	8341	8341	4971	4971	186850	186850	29.5	5.78	83.17	11	2981	3	98	3	0	0	0
92_Scapto.002	Bacteria	5449	104	58	91.38	10.16	9.09	1164501	0	85	85	28028	28028	13700	13700	85906	85906	33.5	3.96	87.28	11	1199	6	87	11	0	0	0
92_Scapto.009	Bacteria	5449	104	58	98.28	8.62	20	2353220	0	454	454	10801	10801	5183	5183	134396	134396	30.7	5.5	84.72	11	2415	1	98	5	0	0	0
92_Scapto.020	Bacteria	5449	104	58	91.68	4.89	75	5013045	0	309	309	50761	50761	16223	16223	171455	171455	54.1	2.44	86.99	11	4830	26	74	4	0	0	0
92_Scapto.034	Bacteria	5449	104	58	94.83	11.29	0	1403740	0	198	198	19367	19367	7089	7089	55782	55782	44.9	1.83	88.97	11	1425	4	85	15	0	0	0
