Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
SRR27931704.001	Bacteria	5449	104	58	98.28	5.33	50	2959751	0	666	666	6728	6728	4444	4444	52988	52988	34.8	11.77	60.98	11	2157	1	97	6	0	0	0
SRR27931706.001	Bacteria	5449	104	58	91.38	13.51	94.74	1800909	0	432	432	5690	5690	4168	4168	21685	21685	39.8	8.05	79.81	11	1659	5	84	13	2	0	0
SRR27931706.004	Bacteria	5449	104	58	93.1	1.72	0	3373257	0	180	180	115970	115970	18740	18740	224677	224677	36.6	4.17	82.11	11	3232	28	75	1	0	0	0
SRR27931706.008	Bacteria	5449	104	58	99.84	14.4	13.79	2825244	0	585	585	11175	11175	4829	4829	50233	50233	48.9	2.34	78.83	11	2774	1	78	23	2	0	0
SRR27931712.014	Bacteria	5449	104	58	98.28	0	0	3601569	0	245	245	48101	48101	14700	14700	137130	137130	44.9	2.02	83.46	11	3800	1	103	0	0	0	0
SRR27931713.006	Bacteria	5449	104	58	100	1.72	0	3502467	0	227	227	115250	115250	15429	15429	307512	307512	38	10.59	79.93	11	3123	0	103	1	0	0	0
SRR27931715.002	Bacteria	5449	104	58	100	3.07	0	3902907	0	242	242	42054	42054	16127	16127	134019	134019	54.5	9.37	83.73	11	3522	0	88	16	0	0	0
SRR27931717.003	Bacteria	5449	104	58	97.07	9.2	100	3751952	0	485	485	11756	11756	7735	7735	48222	48222	55.3	3.47	85.33	11	3590	3	94	7	0	0	0
SRR27931718.001	Bacteria	5449	104	58	96.55	3.45	100	1967249	0	214	214	14076	14076	9192	9192	74870	74870	37.5	3.12	88.01	11	2030	3	99	2	0	0	0
SRR27931718.002	Bacteria	5449	104	58	99.66	0.16	100	3693953	0	231	231	28745	28745	15991	15991	102545	102545	55.3	4.25	85.13	11	3365	1	102	1	0	0	0
SRR27931718.005	Bacteria	5449	104	58	100	2.59	100	3562541	0	420	420	18913	18913	8482	8482	93631	93631	50.9	3.62	81.41	11	3383	0	102	2	0	0	0
SRR27931719.001	Bacteria	5449	104	58	98.28	1.72	100	2100994	0	240	240	18456	18456	8754	8754	71745	71745	37.3	4	87.71	11	2193	1	102	1	0	0	0
SRR27931719.002	Bacteria	5449	104	58	96.21	0	0	3679682	0	194	194	35425	35425	18967	18967	142430	142430	55.3	4.73	84.78	11	3317	3	101	0	0	0	0
SRR27931719.003	Bacteria	5449	104	58	96.55	13.79	40	3652920	0	495	495	27830	27830	7379	7379	268078	268078	36	4.15	86.16	11	4052	3	95	4	2	0	0
SRR27931719.004	Bacteria	5449	104	58	99.14	6.03	25	3748849	0	417	417	19959	19959	8990	8990	139754	139754	50.7	4.27	81.44	11	3568	1	99	4	0	0	0
SRR27931720.001	Bacteria	5449	104	58	97.93	0	0	3606531	0	238	238	25891	25891	15153	15153	119704	119704	55.3	5.29	85.05	11	3293	2	102	0	0	0	0
SRR27931720.002	Bacteria	5449	104	58	99.66	7.76	37.5	3467267	0	367	367	21375	21375	9447	9447	95724	95724	51.8	5.55	81.65	11	3339	1	97	5	1	0	0
SRR27931721.001	Bacteria	5449	104	58	99.66	0	0	3430635	0	213	213	27039	27039	16106	16106	91968	91968	55.6	4.32	85.45	11	3142	1	103	0	0	0	0
SRR27931721.003	Bacteria	5449	104	58	95.69	4.31	100	3139111	0	288	288	21977	21977	10899	10899	159585	159585	52	4.23	82.25	11	2945	3	98	3	0	0	0
SRR27931721.004	Bacteria	5449	104	58	93.1	9.74	86.67	1328850	0	388	388	4339	4339	3424	3424	72001	72001	36.1	5.09	86.51	11	1547	4	85	15	0	0	0
SRR27931721.006	Bacteria	5449	104	58	100	14.29	6.67	3534435	0	730	730	11722	11722	4841	4841	95471	95471	36.8	5.88	86.89	11	3924	0	91	12	1	0	0
SRR27931726.001	Bacteria	5449	104	58	97.93	0	0	3576856	0	247	247	22214	22214	14481	14481	98334	98334	55.5	4.31	85.03	11	3259	2	102	0	0	0	0
SRR27931726.003	Bacteria	5449	104	58	98.79	3.06	100	2770115	0	286	286	18772	18772	9685	9685	67938	67938	52.3	3.31	83.54	11	2661	2	96	6	0	0	0
SRR27931727.001	Bacteria	5449	104	58	97.93	3.45	100	3447714	0	222	222	26458	26458	15530	15530	103140	103140	55.7	3.53	85.85	11	3177	2	100	2	0	0	0
SRR27931727.002	Bacteria	5449	104	58	100	3.45	0	3160764	0	318	318	23341	23341	9939	9939	124108	124108	51.5	5.58	81.39	11	2988	0	102	2	0	0	0
SRR27931727.005	Bacteria	5449	104	58	93.67	1.72	100	3753536	0	546	546	17784	17784	6874	6874	68240	68240	51.3	3.69	84.07	11	3987	18	84	2	0	0	0
SRR27931727.006	Bacteria	5449	104	58	98.28	9.48	62.5	3234721	0	378	378	52320	52320	8557	8557	237144	237144	36.9	4.44	88.25	11	3675	2	94	8	0	0	0
SRR27931732.002	Bacteria	5449	104	58	91.03	0.16	100	3439044	0	177	177	35669	35669	19429	19429	139733	139733	55.7	3.63	85.36	11	3100	6	97	1	0	0	0
SRR27931732.005	Bacteria	5449	104	58	92.27	12.38	30	3637292	0	514	514	16575	16575	7076	7076	115405	115405	49.9	6.09	83.75	11	3661	21	73	10	0	0	0
SRR27931733.002	Bacteria	5449	104	58	94.48	0	0	3559788	0	192	192	34958	34958	18540	18540	106960	106960	55.5	6.89	85.17	11	3230	4	100	0	0	0	0
SRR27931734.002	Bacteria	5449	104	58	94.83	13.71	61.54	2452087	0	946	946	2995	2995	2592	2592	27188	27188	38.8	5.61	81.7	11	2783	3	88	13	0	0	0
SRR27931735.002	Bacteria	5449	104	58	96.55	0	0	1343769	0	58	58	88790	88790	23168	23168	205685	205685	48.2	6.12	86.85	11	1294	2	102	0	0	0	0
SRR27931735.007	Bacteria	5449	104	58	98.28	0	0	2373515	0	499	499	8223	8223	4756	4756	47691	47691	42.4	4.9	83.31	11	2264	1	103	0	0	0	0
SRR27931735.008	Bacteria	5449	104	58	96.55	11.55	50	2365741	0	990	990	2827	2827	2389	2389	40889	40889	60.7	4.17	88.66	11	2610	2	94	8	0	0	0
SRR27931736.002	Bacteria	5449	104	58	96.55	11.68	41.67	3319166	0	1108	1108	3692	3692	2995	2995	33476	33476	39.3	8.64	75.21	11	3468	2	94	6	2	0	0
