Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
21_Melli.001	Bacteria	5449	104	58	64.72	11.36	75.00	834522	0	151	151	8643	8643	5526	5526	35766	35766	41.1	4.16	89.70	11	904	50	46	8	0	0	0
21_Melli.002	Bacteria	5449	104	58	64.66	25.91	85.11	769430	0	174	174	6566	6566	4422	4422	22054	22054	41.3	3.74	90.14	11	913	33	38	26	7	0	0
21_Melli.003	Bacteria	5449	104	58	59.87	20.60	78.26	698574	0	205	205	4430	4430	3407	3407	17583	17583	43.4	3.17	89.92	11	843	33	54	14	3	0	0
21_Melli.004	Bacteria	5449	104	58	31.91	19.33	65.38	483505	0	142	142	4663	4663	3404	3404	22562	22562	37.1	3.00	86.87	11	599	67	19	14	4	0	0
21_Melli.005	Bacteria	5449	104	58	64.91	39.52	71.43	1628428	0	493	493	4225	4225	3303	3303	54898	54898	44.2	2.90	89.71	11	1915	50	34	14	5	1	0
21_Melli.006	Bacteria	5449	104	58	93.10	111.36	32.93	2656288	0	443	443	15026	15026	5996	5996	301320	301320	39.9	3.80	89.62	11	2877	4	51	23	13	7	6
21_Melli.007	Bacteria	5449	104	58	49.53	41.54	81.54	1402940	0	465	465	3951	3951	3017	3017	31134	31134	46.6	3.03	90.45	11	1625	65	17	10	7	4	1
21_Melli.008	Bacteria	5449	104	58	53.84	28.45	65.00	1595628	0	514	514	3959	3959	3104	3104	44073	44073	44.0	3.16	89.08	11	1884	62	26	14	2	0	0
21_Melli.009	Bacteria	5449	104	58	45.18	25.00	80.95	1298725	0	378	378	4548	4548	3435	3435	78469	78469	40.2	1.72	88.03	11	1596	63	28	9	4	0	0
21_Melli.010	Bacteria	5449	104	58	15.86	4.31	50.00	1004865	0	297	297	4290	4290	3383	3383	67519	67519	34.8	3.52	83.03	11	1177	91	11	1	1	0	0
21_Melli.011	Bacteria	5449	104	58	21.00	6.90	80.00	2158226	0	710	710	3683	3683	3039	3039	46224	46224	48.6	3.61	85.54	11	2189	90	11	2	1	0	0
21_Melli.012	Bacteria	5449	104	58	16.85	6.90	80.00	1044925	0	205	205	9296	9296	5097	5097	124745	124745	39.5	1.48	85.88	11	1093	88	11	5	0	0	0
