Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
SRR27931704.001	Bacteria	5449	104	58	98.28	5.33	50.00	2959751	0	666	666	6728	6728	4444	4444	52988	52988	34.8	11.77	60.98	11	2157	1	97	6	0	0	0
SRR27931704.002	Bacteria	5449	104	58	36.66	15.24	0.00	57708532	0	6822	6822	14444	14444	8459	8459	93183	93183	21.9	5.90	25.06	11	57942	52	30	17	4	1	0
SRR27931704.003	Bacteria	5449	104	58	75.31	60.67	8.45	72530487	0	13640	13640	8130	8130	5317	5317	78299	78299	30.8	3.39	31.42	11	77998	34	31	26	11	2	0
SRR27931704.004	Bacteria	5449	104	58	91.03	78.13	4.40	77825419	0	28107	28107	3415	3415	2768	2768	36984	36984	39.7	5.09	40.49	11	102452	7	34	36	17	7	3
maxbin.001	Bacteria	5449	104	58	98.28	5.33	50.00	2959751	0	666	666	6728	6728	4444	4444	52988	52988	34.8	11.77	60.98	11	2157	1	97	6	0	0	0
maxbin.002	Bacteria	5449	104	58	36.66	15.24	0.00	57708532	0	6822	6822	14444	14444	8459	8459	93183	93183	21.9	5.90	25.06	11	57942	52	30	17	4	1	0
maxbin.003	Bacteria	5449	104	58	75.31	60.67	8.45	72530487	0	13640	13640	8130	8130	5317	5317	78299	78299	30.8	3.39	31.42	11	77998	34	31	26	11	2	0
maxbin.004	Bacteria	5449	104	58	91.03	78.13	4.40	77825419	0	28107	28107	3415	3415	2768	2768	36984	36984	39.7	5.09	40.49	11	102452	7	34	36	17	7	3
SRR27931705.001	Bacteria	5449	104	58	14.20	0.00	0.00	324708	0	29	29	56842	56842	11196	11196	123686	123686	51.2	17.08	79.61	11	294	65	39	0	0	0	0
SRR27931705.002	Bacteria	5449	104	58	84.12	22.28	76.19	3309705	0	899	899	4784	4784	3681	3681	78073	78073	37.7	6.86	81.22	11	3357	31	59	12	1	1	0
SRR27931705.003	Bacteria	5449	104	58	3.61	0.00	0.00	953545	0	335	335	3480	3480	2846	2846	16628	16628	28.1	7.11	53.61	11	875	101	3	0	0	0	0
SRR27931705.004	Bacteria	5449	104	58	73.35	82.52	61.32	3975074	0	1367	1367	3574	3574	2907	2907	43933	43933	36.7	3.31	89.68	11	4305	25	46	18	8	4	3
SRR27931705.005	Bacteria	5449	104	58	85.42	4.31	66.67	2471603	0	263	263	19593	19593	9397	9397	111960	111960	36.5	3.43	86.78	11	2481	40	61	3	0	0	0
SRR27931705.006	Bacteria	5449	104	58	0.31	0.00	0.00	1105062	0	266	266	6819	6819	4154	4154	56929	56929	51.3	13.93	73.04	11	986	102	2	0	0	0	0
SRR27931705.007	Bacteria	5449	104	58	58.62	51.72	88.64	2840114	0	821	821	4654	4654	3459	3459	38536	38536	33.2	1.69	88.01	11	3494	68	13	14	8	1	0
SRR27931705.008	Bacteria	5449	104	58	78.34	24.61	5.00	5382625	0	1331	1331	9219	9219	4044	4044	108983	108983	35.4	3.19	82.33	11	6216	32	56	14	2	0	0
SRR27931705.009	Bacteria	5449	104	58	65.52	40.98	10.00	3224839	0	1382	1382	2451	2451	2333	2333	149590	149590	38.1	2.59	87.87	11	3939	24	31	43	3	3	0
SRR27931705.010	Bacteria	5449	104	58	16.29	3.24	0.00	34615942	0	14579	14579	2673	2673	2374	2374	20368	20368	20.8	3.66	23.12	11	36970	77	22	5	0	0	0
SRR27931705.011	Bacteria	5449	104	58	21.40	9.80	0.00	38070146	0	15844	15844	2710	2710	2402	2402	60613	60613	28.0	2.21	31.30	11	43563	72	21	5	5	1	0
SRR27931705.012	Bacteria	5449	104	58	8.64	5.82	41.67	11399578	0	4828	4828	2675	2675	2361	2361	22868	22868	33.2	1.42	34.24	11	14613	86	10	6	2	0	0
SRR27931705.013	Bacteria	5449	104	58	2.29	0.16	0.00	11509214	0	5336	5336	2368	2368	2156	2156	13251	13251	36.5	1.37	28.81	11	14694	93	10	1	0	0	0
SRR27931705.014	Bacteria	5449	104	58	1.49	0.00	0.00	17262367	0	8427	8427	2186	2186	2048	2048	14472	14472	34.6	2.36	30.25	11	21331	99	5	0	0	0	0
SRR27931705.015	Bacteria	5449	104	58	7.45	1.72	0.00	30420470	0	17279	17279	1798	1798	1760	1760	18148	18148	42.5	3.32	45.51	11	51259	90	12	2	0	0	0
maxbin.001	Bacteria	5449	104	58	14.20	0.00	0.00	324708	0	29	29	56842	56842	11196	11196	123686	123686	51.2	17.08	79.61	11	294	65	39	0	0	0	0
maxbin.002	Bacteria	5449	104	58	84.12	22.28	76.19	3309705	0	899	899	4784	4784	3681	3681	78073	78073	37.7	6.86	81.22	11	3357	31	59	12	1	1	0
maxbin.003	Bacteria	5449	104	58	3.61	0.00	0.00	953545	0	335	335	3480	3480	2846	2846	16628	16628	28.1	7.11	53.61	11	875	101	3	0	0	0	0
maxbin.004	Bacteria	5449	104	58	73.35	82.52	61.32	3975074	0	1367	1367	3574	3574	2907	2907	43933	43933	36.7	3.31	89.68	11	4305	25	46	18	8	4	3
maxbin.005	Bacteria	5449	104	58	85.42	4.31	66.67	2471603	0	263	263	19593	19593	9397	9397	111960	111960	36.5	3.43	86.78	11	2481	40	61	3	0	0	0
maxbin.006	Bacteria	5449	104	58	0.31	0.00	0.00	1105062	0	266	266	6819	6819	4154	4154	56929	56929	51.3	13.93	73.04	11	986	102	2	0	0	0	0
maxbin.007	Bacteria	5449	104	58	58.62	51.72	88.64	2840114	0	821	821	4654	4654	3459	3459	38536	38536	33.2	1.69	88.01	11	3494	68	13	14	8	1	0
maxbin.008	Bacteria	5449	104	58	78.34	24.61	5.00	5382625	0	1331	1331	9219	9219	4044	4044	108983	108983	35.4	3.19	82.33	11	6216	32	56	14	2	0	0
maxbin.009	Bacteria	5449	104	58	65.52	40.98	10.00	3224839	0	1382	1382	2451	2451	2333	2333	149590	149590	38.1	2.59	87.87	11	3939	24	31	43	3	3	0
maxbin.010	Bacteria	5449	104	58	16.29	3.24	0.00	34615942	0	14579	14579	2673	2673	2374	2374	20368	20368	20.8	3.66	23.12	11	36970	77	22	5	0	0	0
maxbin.011	Bacteria	5449	104	58	21.40	9.80	0.00	38070146	0	15844	15844	2710	2710	2402	2402	60613	60613	28.0	2.21	31.30	11	43563	72	21	5	5	1	0
maxbin.012	Bacteria	5449	104	58	8.64	5.82	41.67	11399578	0	4828	4828	2675	2675	2361	2361	22868	22868	33.2	1.42	34.24	11	14613	86	10	6	2	0	0
maxbin.013	Bacteria	5449	104	58	2.29	0.16	0.00	11509214	0	5336	5336	2368	2368	2156	2156	13251	13251	36.5	1.37	28.81	11	14694	93	10	1	0	0	0
maxbin.014	Bacteria	5449	104	58	1.49	0.00	0.00	17262367	0	8427	8427	2186	2186	2048	2048	14472	14472	34.6	2.36	30.25	11	21331	99	5	0	0	0	0
maxbin.015	Bacteria	5449	104	58	7.45	1.72	0.00	30420470	0	17279	17279	1798	1798	1760	1760	18148	18148	42.5	3.32	45.51	11	51259	90	12	2	0	0	0
SRR27931706.001	Bacteria	5449	104	58	91.38	13.51	94.74	1800909	0	432	432	5690	5690	4168	4168	21685	21685	39.8	8.05	79.81	11	1659	5	84	13	2	0	0
SRR27931706.002	Bacteria	5449	104	58	36.13	10.33	23.81	2266459	0	698	698	4323	4323	3247	3247	50445	50445	37.1	11.40	66.06	11	2143	50	35	18	1	0	0
SRR27931706.003	Bacteria	5449	104	58	67.71	52.59	79.49	2633682	0	753	753	4725	4725	3497	3497	59062	59062	34.6	5.83	87.68	11	2976	56	20	24	3	1	0
SRR27931706.004	Bacteria	5449	104	58	93.10	1.72	0.00	3373257	0	180	180	115970	115970	18740	18740	224677	224677	36.6	4.17	82.11	11	3232	28	75	1	0	0	0
SRR27931706.005	Bacteria	5449	104	58	84.06	4.08	0.00	2304742	0	239	239	18861	18861	9643	9643	62747	62747	36.6	3.76	87.95	11	2357	21	73	10	0	0	0
